lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,country,date
39.05,-27.98,293.38,79,44,4.82,PT,1594463601
-20.19,32.62,300.98,26,3,3.95,ZW,1594463601
8.0,124.29,300.37,81,100,3.58,PH,1594463602
-0.95,100.35,300.76,75,71,0.99,ID,1594463602
43.27,-7.54,294.82,73,41,6.26,ES,1594463602
-5.32,119.37,300.15,88,20,1.5,ID,1594463602
26.12,127.67,303.15,79,20,2.6,JP,1594463602
-13.8,-47.46,293.96,62,6,3.6,BR,1594463602
-21.13,164.9,290.91,77,29,2.51,NC,1594463603
57.8,158.67,285.06,91,41,2.63,RU,1594463603
-0.91,122.88,298.05,83,100,2.6,ID,1594463603
1.24,111.46,303.15,79,20,0.5,MY,1594463604
-21.34,55.48,298.15,53,24,6.2,RE,1594463604
60.75,-137.51,281.14,82,100,1.64,CA,1594463604
-14.25,129.55,298.77,57,0,3.11,AU,1594463604
70.66,23.68,287.15,54,100,2.6,NO,1594463604
-12.58,13.41,296.15,73,90,3.8,AO,1594463604
-2.27,40.9,300.15,78,1,5.7,KE,1594463605
-36.31,-57.68,275.0,83,0,3.95,AR,1594463605
29.11,21.29,308.07,20,0,3.75,LY,1594463605
-33.01,17.94,287.15,67,29,1.0,ZA,1594463605
-20.52,57.52,297.15,64,75,8.2,MU,1594463605
-14.98,27.06,307.58,20,1,0.81,ZM,1594463606
40.48,-106.83,285.15,39,1,1.69,US,1594463473
-6.54,111.05,299.92,77,9,2.37,ID,1594463606
36.21,-115.98,299.26,22,4,1.42,US,1594463606
52.16,-7.15,289.26,67,40,2.1,IE,1594463596
54.78,-127.17,284.15,81,90,3.6,CA,1594463606
1.1,36.7,294.82,52,55,2.5,KE,1594463607
-42.47,171.2,283.74,82,100,4.46,NZ,1594463607
36.62,101.77,289.19,56,96,2.18,CN,1594463607
65.85,74.49,294.05,39,0,5.14,RU,1594463608
-8.42,-78.75,290.61,74,92,1.23,PE,1594463608
11.85,-86.44,296.23,85,12,2.8,NI,1594463608
47.87,88.12,295.53,43,87,5.95,CN,1594463608
-17.74,-46.17,290.18,83,0,3.29,BR,1594463608
37.68,112.73,299.15,61,20,2.0,CN,1594463609
62.23,-6.59,284.15,81,98,5.1,FO,1594463609
-11.38,43.28,302.15,62,40,4.6,KM,1594463609
52.26,87.12,294.92,59,78,2.12,RU,1594463609
-36.72,-73.12,280.15,93,100,1.5,CL,1594463609
-8.98,33.97,294.64,47,21,1.01,TZ,1594463609
31.71,-98.99,299.15,69,1,3.1,US,1594463562
-1.57,9.26,298.56,76,82,4.18,GA,1594463610
3.41,30.96,297.44,78,60,1.99,UG,1594463610
3.87,-67.92,295.43,98,98,0.38,CO,1594463610
-18.47,-47.2,289.18,78,0,5.35,BR,1594463610
3.46,8.55,297.15,100,75,2.1,GQ,1594463611
50.23,-63.6,289.15,100,75,4.1,CA,1594463611
18.28,-70.33,299.82,85,22,1.34,DO,1594463410
21.23,-86.73,300.93,100,75,2.74,MX,1594463476
-30.6,-71.2,284.0,68,39,0.81,CL,1594463611
49.58,0.33,292.04,63,0,5.7,FR,1594463612
6.13,-5.94,296.93,83,97,1.21,CI,1594463612
20.5,-99.0,287.43,95,54,0.88,MX,1594463359
15.74,-96.47,296.48,94,100,1.11,MX,1594463612
16.92,97.37,302.21,75,98,3.5,MM,1594463612
30.37,-107.95,297.04,61,16,0.89,MX,1594463613
-7.91,39.67,298.39,77,24,5.73,TZ,1594463613
0.53,72.93,302.38,72,54,4.36,MV,1594463613
14.31,121.11,303.15,74,20,2.1,PH,1594463613
36.1,0.42,300.84,54,5,4.66,DZ,1594463613
48.22,18.61,302.04,52,5,0.89,SK,1594463614
-17.71,-39.25,295.97,76,7,0.42,BR,1594463614
41.71,-70.23,297.15,88,90,3.6,US,1594463614
40.82,-82.27,294.15,88,90,3.6,US,1594463614
-8.9,-35.15,297.91,81,16,6.04,BR,1594463614
24.02,75.35,306.21,54,79,7.36,IN,1594463615
12.67,100.9,304.15,62,40,2.6,TH,1594463615
59.95,12.2,292.59,82,88,3.1,SE,1594463615
-25.17,45.05,303.52,30,0,5.01,MG,1594463615
52.63,29.73,301.19,60,0,4.14,BY,1594463615
16.52,-98.75,298.94,89,100,2.76,MX,1594463616
34.8,-106.54,296.15,18,1,1.5,US,1594463616
31.42,-103.49,299.15,50,1,2.1,US,1594463616
14.3,-91.92,298.56,84,100,4.06,GT,1594463616
-20.23,164.02,294.85,74,27,7.15,NC,1594463617
33.75,73.51,312.15,31,20,6.2,PK,1594463617
37.92,15.77,300.15,74,20,3.1,IT,1594463617
47.65,53.35,313.37,11,8,1.57,KZ,1594463617
29.6,-90.72,300.15,94,1,1.5,US,1594463617
-7.26,-34.91,296.15,94,15,5.1,BR,1594463617
15.24,105.23,309.26,56,20,2.1,TH,1594463618
9.2,12.48,302.11,66,75,2.71,NG,1594463618
63.05,179.32,284.79,77,100,1.28,RU,1594463618
27.98,-114.06,294.36,63,0,1.68,MX,1594463618
7.62,-71.49,294.24,93,91,0.82,VE,1594463618
-21.12,-56.48,290.97,82,0,1.51,BR,1594463619
-17.04,-39.53,293.7,88,8,1.86,BR,1594463619
69.65,18.96,288.15,54,40,4.1,NO,1594463619
-10.07,-78.15,288.95,82,90,2.46,PE,1594463619
-37.83,140.77,282.15,100,75,1.5,AU,1594463418
61.73,17.1,293.78,39,98,0.09,SE,1594463437
4.87,-2.24,299.1,74,92,4.52,GH,1594463620
63.28,118.33,301.03,58,38,1.23,RU,1594463620
5.38,-52.95,298.95,86,68,3.04,GF,1594463620
55.3,-123.17,284.15,93,90,2.1,CA,1594463620
-3.77,-61.64,296.22,91,34,0.35,BR,1594463621
-39.2,173.88,280.37,93,96,1.79,NZ,1594463621
-17.73,-149.15,297.15,73,40,2.6,PF,1594463621
-15.95,-44.86,293.25,68,0,3.03,BR,1594463621
78.22,15.64,282.15,70,40,19.5,SJ,1594463621
64.3,41.92,288.15,93,90,2.0,RU,1594463622
57.05,-135.33,285.15,93,90,1.5,US,1594463622
32.14,105.51,292.71,93,100,2.82,CN,1594463622
28.17,94.77,296.83,91,100,0.83,IN,1594463622
19.11,37.33,310.8,26,0,6.3,SD,1594463623
15.85,-97.07,297.51,89,100,2.53,MX,1594463623
30.48,-115.95,292.9,81,8,2.11,MX,1594463623
67.67,53.09,293.04,43,62,7.6,RU,1594463623
29.4,71.68,319.12,17,1,5.72,PK,1594463623
50.12,-5.54,290.15,67,20,3.1,GB,1594463538
29.58,-9.5,309.06,16,0,0.89,MA,1594463624
5.97,116.07,298.15,88,40,3.6,MY,1594463624
